google_vid_id,report_date,comment_hour,total_comments
42MnrKPOAhk,2024-09-10,14,23
42MnrKPOAhk,2024-09-11,17,23
42MnrKPOAhk,2024-09-12,10,23
4dem57s3XqA,2024-09-10,14,2
4dem57s3XqA,2024-09-11,17,2
4dem57s3XqA,2024-09-12,10,2
5VQc33YDeMA,2024-09-10,14,29
5VQc33YDeMA,2024-09-11,17,29
5VQc33YDeMA,2024-09-12,10,29
5dT2T8F3Z08,2024-09-10,14,0
5dT2T8F3Z08,2024-09-11,17,0
5dT2T8F3Z08,2024-09-12,10,0
5emPzqMeg_Q,2024-09-12,10,6
5rbomrlLU74,2024-09-10,14,41
5rbomrlLU74,2024-09-11,17,41
5rbomrlLU74,2024-09-12,10,41
6oRJWQ0Dy04,2024-09-10,14,113
6oRJWQ0Dy04,2024-09-11,17,113
6oRJWQ0Dy04,2024-09-12,10,113
7GqzpILq9_w,2024-09-10,14,39
7GqzpILq9_w,2024-09-11,17,39
7GqzpILq9_w,2024-09-12,10,39
7u1Rz5OSLOA,2024-09-10,14,18
7u1Rz5OSLOA,2024-09-11,17,18
7u1Rz5OSLOA,2024-09-12,10,18
7zlHXIQUBnE,2024-09-10,14,1
7zlHXIQUBnE,2024-09-11,17,1
7zlHXIQUBnE,2024-09-12,10,1
8AflL4BROZ8,2024-09-10,14,8
8AflL4BROZ8,2024-09-11,17,8
8AflL4BROZ8,2024-09-12,10,8
Az6b1QsdgKE,2024-09-10,14,7
Az6b1QsdgKE,2024-09-11,17,7
Az6b1QsdgKE,2024-09-12,10,7
BOqdO6zCJxA,2024-09-10,14,9
C29SVLWljok,2024-09-10,14,14
C29SVLWljok,2024-09-11,17,14
C29SVLWljok,2024-09-12,10,14
F9KUeui1Yxk,2024-09-10,14,27
F9KUeui1Yxk,2024-09-11,17,27
F9KUeui1Yxk,2024-09-12,10,27
FKVzI4P12lg,2024-09-10,14,2
FKVzI4P12lg,2024-09-11,17,2
FKVzI4P12lg,2024-09-12,10,2
J7xABAlcO7k,2024-09-10,14,25
J7xABAlcO7k,2024-09-11,17,25
J7xABAlcO7k,2024-09-12,10,25
JRurE6pYzgU,2024-09-12,10,5
JTaHFd7q5Fc,2024-09-10,14,8
JTaHFd7q5Fc,2024-09-11,17,8
JTaHFd7q5Fc,2024-09-12,10,8
